Марка;Модель;Топливо;Коробка передач;Привод;Ссылка
Lexus ES 2020;Miyata 250 AT (207 л.с.) ; Бензин 2.5 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-es-1853122.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1848067.html
Lexus UX 2020;Business+ 250h CVT (146 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1853215.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1845742.html
Lexus RX 2020;Sport+ 350 AT (300 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1851418.html
Lexus RX 2020;Premium 450h E-CVT (313 л.с.) AWD ; Гибрид 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1851398.html
Lexus UX 2020;Business+ 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1851687.html
Lexus UX 2020;Business+ 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1851236.html
Lexus ES 2020;Miyata 250 AT (207 л.с.) ; Бензин 2.5 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-es-1851092.html
Lexus UX 2020;Ginza 250h CVT (184 л.с.) ; Гибрид ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1851556.html
Lexus RX 2020;Sport+ 350 AT (300 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1855883.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1853379.html
Lexus RX 2020;Sport+ 350 AT (300 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1853375.html
Lexus LX 2020;Luxury 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1837634.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1837611.html
Lexus LX 2020; 570 Inkas B6/B7 AT (367 л.с.) ; Бензин 5.7 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1835027.html
Lexus RX 2020;Business 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1848160.html
Lexus LX 2020;Luxury 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1852477.html
Lexus UX 2020;Individual 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1852989.html
Lexus ES 2020;Business 250 AT (207 л.с.) ; Бензин 2.5 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-es-1840923.html
Lexus GX 2020;Luxury 460 AT (296 л.с.) AWD ; Бензин 4.6 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-gx-1854397.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1836161.html
Lexus UX 2020;Ginza 250h CVT (184 л.с.) ; Гибрид ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1856317.html
Lexus RX 2020;Sport+ 350 AT (300 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1850588.html
Lexus RX 2020;Premium 350L AT (294 л.с.) AWD ; Бензин 3.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1840967.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1851420.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1845931.html
Lexus LX 2020;Luxury 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1845692.html
Lexus UX 2020;Business+ 250h CVT (177 л.с.) ; Гибрид 2.0 л ;Автомат;Передний привод;https://auto.ria.com/newauto//newauto/auto-lexus-ux-1843214.html
Lexus RX 2020;Executive+ 300 AT (238 л.с.) AWD ; Бензин 2.0 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-rx-1838714.html
Lexus NX 2020;Executive+ 300h AT (200 л.с.) AWD ; Гибрид 2.5 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1846547.html
Lexus GX 2020;Luxury 460 AT (296 л.с.) AWD ; Бензин 4.6 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-gx-1839110.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1840932.html
Lexus LX 2020;Black Edition 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1841335.html
Lexus LX 2020;Luxury 450d AT (272 л.с.) ; Дизтопливо 4.5 л ;Автомат;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-lx-1841331.html
Lexus NX 2020;Sport+ 200 AT (150 л.с.) AWD ; Бензин 2.0 л ;Вариатор;Полный привод;https://auto.ria.com/newauto//newauto/auto-lexus-nx-1838805.html
